[2022-07-25T01:30:33,371][WARN ][o.e.d.r.a.a.i.RestPutMappingAction] [wHW0VaA] [types removal] The parameter include_type_name should be explicitly specified in create index requests to prepare for 7.0. In 7.0 include_type_name will default to 'false', and requests are expected to omit the type name in mapping definitions.
[2022-07-25T01:30:35,333][WARN ][o.e.d.r.a.a.i.RestGetIndicesAction] [wHW0VaA] [types removal] The parameter include_type_name should be explicitly specified in get indices requests to prepare for 7.0. In 7.0 include_type_name will default to 'false', which means responses will omit the type name in mapping definitions.
[2022-07-25T01:30:35,629][WARN ][o.e.d.r.a.a.i.RestGetMappingAction] [wHW0VaA] [types removal] The parameter include_type_name should be explicitly specified in get mapping requests to prepare for 7.0. In 7.0 include_type_name will default to 'false', which means responses will omit the type name in mapping definitions.
[2022-07-25T01:30:35,645][WARN ][o.e.d.r.a.a.i.RestPutMappingAction] [wHW0VaA] [types removal] The parameter include_type_name should be explicitly specified in put mapping requests to prepare for 7.0. In 7.0 include_type_name will default to 'false', and requests are expected to omit the type name in mapping definitions.
[2022-07-25T01:33:47,758][WARN ][o.e.d.c.ParseField       ] [wHW0VaA] Deprecated field [_retry_on_conflict] used, expected [retry_on_conflict] instead
[2022-07-25T01:33:47,768][WARN ][o.e.d.c.ParseField       ] [wHW0VaA] Deprecated field [_retry_on_conflict] used, expected [retry_on_conflict] instead
[2022-07-25T01:33:47,773][WARN ][o.e.d.c.ParseField       ] [wHW0VaA] Deprecated field [_retry_on_conflict] used, expected [retry_on_conflict] instead
[2022-07-25T01:33:47,775][WARN ][o.e.d.c.ParseField       ] [wHW0VaA] Deprecated field [_retry_on_conflict] used, expected [retry_on_conflict] instead
[2022-07-25T01:33:47,778][WARN ][o.e.d.c.ParseField       ] [wHW0VaA] Deprecated field [_retry_on_conflict] used, expected [retry_on_conflict] instead
[2022-07-25T01:33:47,779][WARN ][o.e.d.c.ParseField       ] [wHW0VaA] Deprecated field [_retry_on_conflict] used, expected [retry_on_conflict] instead
[2022-07-25T01:33:47,780][WARN ][o.e.d.c.ParseField       ] [wHW0VaA] Deprecated field [_retry_on_conflict] used, expected [retry_on_conflict] instead
[2022-07-25T01:33:47,782][WARN ][o.e.d.c.ParseField       ] [wHW0VaA] Deprecated field [_retry_on_conflict] used, expected [retry_on_conflict] instead
[2022-07-25T01:33:47,785][WARN ][o.e.d.c.ParseField       ] [wHW0VaA] Deprecated field [_retry_on_conflict] used, expected [retry_on_conflict] instead
